Year,CPUE_2
1948,NA
1949,NA
1950,NA
1951,NA
1952,NA
1953,NA
1954,NA
1955,NA
1956,NA
1957,NA
1958,NA
1959,NA
1960,NA
1961,NA
1962,NA
1963,NA
1964,NA
1965,NA
1966,NA
1967,NA
1968,NA
1969,NA
1970,NA
1971,NA
1972,NA
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,NA
1979,NA
1980,NA
1981,NA
1982,NA
1983,NA
1984,NA
1985,NA
1986,NA
1987,NA
1988,NA
1989,NA
1990,NA
1991,NA
1992,NA
1993,NA
1994,NA
1995,NA
1996,NA
1997,NA
1998,NA
1999,NA
2000,NA
2001,NA
2002,NA
2003,8.245781032
2004,7.936373927
2005,8.844312294
2006,8.436728702
2007,8.555480526
2008,9.586167813
2009,9.05181685
2010,8.266947488
2011,9.41164315
2012,8.205306381
2013,8.098011111
2014,9.98986513
2015,12.59206757
2016,13.46853906
2017,11.06958728
2018,11.66436348
