Year,CPUE_1,CPUE_2
1948,88.20734609,NA
1949,56.48903443,NA
1950,51.55403441,NA
1951,72.06033898,NA
1952,95.55236189,NA
1953,87.76060034,NA
1954,95.69191041,NA
1955,154.4651159,NA
1956,91.69537843,NA
1957,114.4027237,NA
1958,64.561298,NA
1959,55.65307657,NA
1960,102.7778743,NA
1961,114.9987221,NA
1962,177.1825159,NA
1963,125.8613253,NA
1964,114.1661533,NA
1965,120.525657,NA
1966,120.6917425,NA
1967,108.3650317,NA
1968,99.21704444,NA
1969,94.74917015,NA
1970,81.02248384,NA
1971,75.13771698,NA
1972,88.43895675,NA
1973,75.03977909,NA
1974,81.9573122,NA
1975,76.91456342,NA
1976,51.4033427,NA
1977,52.5876066,NA
1978,82.96740401,NA
1979,87.38467361,NA
1980,69.77296484,NA
1981,68.37182275,NA
1982,59.29342836,NA
1983,59.2485325,NA
1984,48.49198524,NA
1985,60.62059093,NA
1986,64.9679915,NA
1987,83.76251062,NA
1988,80.23674964,NA
1989,71.87075907,NA
1990,64.68462942,NA
1991,61.96633909,NA
1992,66.83627481,NA
1993,60.396957,NA
1994,68.34920601,NA
1995,68.00865958,NA
1996,64.46197238,NA
1997,65.49491482,NA
1998,65.80292816,NA
1999,65.14064131,NA
2000,72.77218622,NA
2001,72.67596235,NA
2002,68.34707933,NA
2003,61.69271612,8.245781032
2004,NA,7.936373927
2005,NA,8.844312294
2006,NA,8.436728702
2007,NA,8.555480526
2008,NA,9.586167813
2009,NA,9.05181685
2010,NA,8.266947488
2011,NA,9.41164315
2012,NA,8.205306381
2013,NA,8.098011111
2014,NA,9.98986513
2015,NA,12.59206757
2016,NA,13.46853906
2017,NA,11.06958728
2018,NA,11.66436348
