"","Year","CPUE","logSE"
"1",1948,81.7267119246036,0.0946005763957157
"2",1949,60.0199353918204,0.0891524969396037
"3",1950,56.5434504614356,0.102296324016427
"4",1951,72.0925188049686,0.0720818493321366
"5",1952,89.8848509679786,0.0825396773227674
"6",1953,89.7767741559281,0.0721878761092338
"7",1954,99.0524172665747,0.0797362404763645
"8",1955,130.433422925231,0.122421402926728
"9",1956,97.8363174386541,0.0793088306127012
"10",1957,103.086298453001,0.0921631171785157
"11",1958,70.146132997541,0.103268351864407
"12",1959,65.066016411943,0.135869683107837
"13",1960,98.4947062183523,0.0729206452752321
"14",1961,117.19658893394,0.0764491008223298
"15",1962,154.927681191917,0.11889832367364
"16",1963,127.755747214365,0.0736940842097991
"17",1964,117.531500931033,0.0737772566981852
"18",1965,118.36437219612,0.072906375370034
"19",1966,117.862752362446,0.0747455118135497
"20",1967,107.768660966707,0.0705366281777495
"21",1968,99.5906738967361,0.0727118403516307
"22",1969,93.5683070580978,0.0727143771087569
"23",1970,82.6668917067622,0.0757936657516483
"24",1971,78.0455578303955,0.0715163409993493
"25",1972,84.9883871196764,0.0720375211846671
"26",1973,76.9059133162274,0.0696672366265627
"27",1974,79.2095031804303,0.0722705520438206
"28",1975,73.7139518481706,0.0729080776079418
"29",1976,55.2601579483361,0.0913499557965029
"30",1977,56.9786554946318,0.0892684152502944
"31",1978,76.9654413234224,0.0808529639021159
"32",1979,82.3436492146368,0.0850351364875188
"33",1980,71.2579258613512,0.0696523867158651
"34",1981,66.797519598675,0.0718253019800362
"35",1982,60.848065957903,0.0697117742361442
"36",1983,58.4793043672105,0.0677681927043363
"37",1984,52.0856287680255,0.0831009283499951
"38",1985,60.4934074981638,0.070311725771763
"39",1986,66.0415885083671,0.0671728259626893
"40",1987,79.2346056119349,0.0793956386635857
"41",1988,78.0616104484345,0.075096229814864
"42",1989,71.4865849215639,0.0701062711115671
"43",1990,65.3595293405949,0.0734981188645855
"44",1991,63.0916012143947,0.0721581155400645
"45",1992,65.7197265738332,0.0717107147292474
"46",1993,62.3161437109538,0.0749953556499419
"47",1994,67.2941818295155,0.0719418019681285
"48",1995,67.0821396114723,0.0716606680614761
"49",1996,65.259919058907,0.0702795281721848
"50",1997,65.6292783949041,0.0707095109190423
"51",1998,65.7285461903261,0.0716206887903038
"52",1999,66.170876059023,0.0700676116581562
"53",2000,71.3174635110182,0.0703205101004233
"54",2001,71.6493642940067,0.0729164568298529
"55",2002,67.7745157236367,0.0731365844043749
"56",2003,62.9062250118317,0.0936074622866229
"57",2004,62.0739800114322,0.127876246995545
"58",2005,65.9494121201018,0.135558626329976
"59",2006,64.9638071391769,0.14077190244224
"60",2007,66.2330730145214,0.144564376448135
"61",2008,71.4751070573406,0.138885986310264
"62",2009,68.7042425673391,0.142692937786326
"63",2010,64.8782273357065,0.146227941407564
"64",2011,69.9532248452755,0.14067287486324
"65",2012,64.2256154748858,0.14606524551362
"66",2013,64.4345901277835,0.153999183195332
"67",2014,76.1509816148874,0.142498411436478
"68",2015,92.955186002102,0.139403607694198
"69",2016,98.5253762905585,0.143109625297239
"70",2017,87.6240678804463,0.148797158465274
"71",2018,88.6197707100463,0.150618720396419
