FYEAR,INDEX.EST,VARIANCE.FORM,VARIANCE.ADDITIVE,BERNVARIANCE.FORM,MODEL,SD,CV,N,SE,CV_mean
1948,88.20734609,9289.086859,19985.31829,17160.4055,TP1,96.379909,1.092651727,2132,2.087338635,0.023664
1949,56.48903443,4599.609841,8992.350213,7623.171907,TP1,67.82042348,1.20059449,3756,1.106617937,0.01958996
1950,51.55403441,3039.337202,6715.657661,5791.834131,TP1,55.13018413,1.06936702,3730,0.902682508,0.017509445
1951,72.06033898,5485.833862,11058.02565,9970.917951,TP1,74.06641521,1.02783884,2955,1.362519049,0.01890803
1952,95.55236189,9377.725543,15785.57415,14885.90592,TP1,96.83865728,1.013461681,1982,2.175188678,0.022764363
1953,87.76060034,7718.839633,13125.97306,12444.27721,TP1,87.85692706,1.001097608,1505,2.264684768,0.025805256
1954,95.69191041,8114.63674,9386.958785,9425.644938,TP1,90.08127852,0.941367751,1024,2.815039954,0.029417742
1955,154.4651159,13853.62839,15672.54073,16313.76331,TP1,117.7014375,0.76199365,599,4.809150361,0.031134217
1956,91.69537843,6998.754887,7740.059938,7798.125983,TP1,83.65856135,0.912353085,814,2.932231058,0.031977959
1957,114.4027237,8959.018034,10599.62298,10943.8315,TP1,94.65208943,0.827358706,970,3.039095436,0.026564887
1958,64.561298,2411.132126,2870.80624,3027.31155,TP1,49.1032802,0.760568355,877,1.658099957,0.025682568
1959,55.65307657,3149.114243,4859.581387,4662.457163,TP1,56.11696929,1.008335437,973,1.799027442,0.03232575
1960,102.7778743,5154.725391,6851.490087,7725.431279,TP1,71.79641628,0.69855907,1066,2.198994609,0.021395603
1961,114.9987221,6800.421527,9989.323898,11870.44108,TP1,82.46466835,0.717092041,565,3.469314672,0.030168289
1962,177.1825159,16019.18843,19832.6825,22009.26106,TP1,126.5669326,0.714330824,662,4.91916353,0.027763256
1963,125.8613253,12398.20482,17104.73111,17479.89581,TP1,111.3472264,0.88468182,862,3.792501581,0.030132382
1964,114.1661533,12583.19765,19942.01361,19277.93053,TP1,112.174853,0.982557875,1032,3.491850652,0.030585691
1965,120.525657,14970.95732,23357.57526,22317.28109,TP1,122.3558635,1.015185202,1225,3.495881813,0.029005291
1966,120.6917425,13045.95277,20418.08478,20072.79613,TP1,114.218881,0.946368646,1148,3.371063683,0.027931187
1967,108.3650317,8236.004114,12676.69898,13222.23591,TP1,90.7524331,0.837469723,1612,2.260350348,0.020858669
1968,99.21704444,7776.031397,11849.66947,12039.99376,TP1,88.18180876,0.888776815,1353,2.397342609,0.024162609
1969,94.74917015,7780.138826,13375.75669,13129.21125,TP1,88.20509524,0.930932641,1451,2.315580945,0.024439063
1970,81.02248384,7519.419521,15120.59404,13361.51766,TP1,86.71458655,1.070253372,1564,2.192672569,0.02706252
1971,75.13771698,4703.709794,7545.786049,7520.507634,TP1,68.58359712,0.912771906,1434,1.811113567,0.024103921
1972,88.43895675,7146.48643,10127.69358,10016.12707,TP1,84.5368939,0.955878461,1935,1.921789437,0.021730123
1973,75.03977909,4513.638451,7444.398309,7480.95246,TP1,67.18361743,0.895306706,1711,1.624195786,0.021644464
1974,81.9573122,4428.502267,6447.478287,6846.177532,TP1,66.54699292,0.811971393,2275,1.395204072,0.017023546
1975,76.91456342,4121.870469,5926.894651,6197.951215,TP1,64.20179491,0.834715716,2243,1.355603037,0.01762479
1976,51.4033427,588.27492,820.8469799,1823.651825,TP1,24.2543794,0.4718444,2897,0.450625661,0.008766466
1977,52.5876066,2514.960611,6001.623666,5458.257971,TP1,50.14938296,0.953635014,3569,0.839445141,0.015962794
1978,82.96740401,6509.932348,8111.437849,8072.908406,TP1,80.68415178,0.972480129,2458,1.627411192,0.019615067
1979,87.38467361,8119.16374,10254.98007,10063.98275,TP1,90.10640232,1.031146523,1961,2.034777155,0.023285286
1980,69.77296484,5156.691171,7382.574837,7122.02297,TP1,71.81010494,1.029196697,2986,1.31413705,0.018834473
1981,68.37182275,5090.104837,7565.226319,7219.109979,TP1,71.34497065,1.043484988,4126,1.110705064,0.01624507
1982,59.29342836,2629.566072,3759.451199,3869.422125,TP1,51.27929477,0.86483943,4158,0.795242902,0.013411991
1983,59.2485325,2268.130781,3213.108071,3420.677988,TP1,47.62489665,0.803815633,5478,0.643462189,0.01086039
1984,48.49198524,1575.751053,2283.251983,2409.385942,TP1,39.69573092,0.818603955,4824,0.571531476,0.011786102
1985,60.62059093,2550.794961,3340.873298,3489.643116,TP1,50.50539537,0.833139278,6326,0.634999205,0.010474976
1986,64.9679915,2859.295062,3611.608383,3761.55134,TP1,53.47237663,0.823057253,6322,0.672515412,0.010351488
1987,83.76251062,3956.139923,4805.167608,5115.004042,TP1,62.89785308,0.75090697,6013,0.811129543,0.009683682
1988,80.23674964,3790.655742,4802.674539,5120.347414,TP1,61.56830144,0.767332945,6657,0.754601899,0.009404692
1989,71.87075907,3074.858151,4038.612366,4341.723994,TP1,55.4514035,0.771543312,7147,0.655919665,0.009126377
1990,64.68462942,3134.287743,4278.860441,4403.557053,TP1,55.9847099,0.865502522,6212,0.710319453,0.010981271
1991,61.96633909,2412.488344,3164.409363,3369.659978,TP1,49.11708811,0.792641438,4905,0.701314965,0.011317676
1992,66.83627481,3036.066708,3418.2294,3504.238561,TP1,55.10051459,0.824410318,4748,0.799650659,0.011964321
1993,60.396957,2309.188218,2632.006405,2719.393403,TP1,48.05401355,0.795636336,3757,0.783987375,0.012980577
1994,68.34920601,3300.951616,3878.276291,3981.732336,TP1,57.45390862,0.840593651,4095,0.897826927,0.013135879
1995,68.00865958,3571.397356,4261.671208,4340.054662,TP1,59.7611693,0.878728822,4467,0.894151501,0.013147612
1996,64.46197238,3144.447169,3786.70108,3873.421371,TP1,56.07537044,0.869898459,4303,0.854843233,0.013261202
1997,65.49491482,3019.183218,3339.424233,3402.557015,TP1,54.94709472,0.838952075,4544,0.815127552,0.012445662
1998,65.80292816,2994.71922,3322.050276,3389.807322,TP1,54.72402781,0.831635147,4501,0.815687014,0.012395908
1999,65.14064131,2628.254225,3040.693867,3162.727433,TP1,51.26650198,0.787012546,3341,0.886942463,0.013615808
2000,72.77218622,3223.895315,3718.017936,3869.483206,TP1,56.77935642,0.780234309,4179,0.87832305,0.012069488
2001,72.67596235,3615.197857,4070.672552,4166.044782,TP1,60.12651542,0.827323278,3785,0.97731169,0.013447523
2002,68.34707933,3086.410446,3429.626966,3513.153068,TP1,55.55547179,0.812843392,3064,1.003650394,0.014684613
2003,61.69271612,2373.230373,2933.305888,3117.484163,TP1,48.71581235,0.789652578,576,2.029825515,0.032902191
2003,8.175187938,42.00165058,54.89521263,59.4054174,TP2,6.480868042,0.792748508,3037,0.117600937,0.014385105
2004,7.868429814,41.21870421,54.54204134,59.06832717,TP2,6.420179453,0.815941631,3404,0.110040459,0.013985059
2005,8.768596211,50.21829056,65.66009527,71.61940282,TP2,7.086486475,0.808166587,3390,0.121711359,0.01388037
2006,8.364498754,54.65007002,76.32053101,79.36536168,TP2,7.392568567,0.883802937,2989,0.135217345,0.016165624
2007,8.482237713,63.09134256,92.30464354,93.00329039,TP2,7.94300589,0.936428117,3595,0.13247546,0.015617985
2008,9.504098394,56.50404232,78.02965734,86.42079561,TP2,7.516917076,0.790913221,2974,0.1378381,0.014503017
2009,8.974326535,47.80106746,65.40333464,72.95327971,TP2,6.913831605,0.770401164,3986,0.109509085,0.012202485
2010,8.196180989,47.49912057,64.93665589,68.6914112,TP2,6.891960575,0.84087462,3270,0.120522715,0.014704741
2011,9.331068918,62.87892193,78.1545099,81.12495427,TP2,7.929623064,0.849808648,3582,0.13249203,0.01419902
2012,8.135066072,45.84031027,62.85168979,67.1875161,TP2,6.770547265,0.832267028,3324,0.117433841,0.014435512
2013,8.028684231,39.71048881,51.09250032,57.48661101,TP2,6.301625886,0.784888994,3600,0.105027098,0.013081483
2014,9.904343455,49.54603539,64.04774274,76.15438093,TP2,7.038894472,0.71068764,3732,0.11522153,0.011633434
2015,12.48426321,75.3098651,94.06201243,112.660655,TP2,8.678125667,0.695125176,3312,0.150792857,0.012078635
2016,13.35323354,115.0729977,149.570528,162.76736,TP2,10.72720829,0.803341622,2233,0.227008622,0.017000273
2017,10.97482174,77.2645659,105.6368893,120.56614,TP2,8.790026501,0.800926585,1946,0.199259376,0.018156047
2018,11.56450692,164.3878344,249.8515762,231.842922,TP2,12.82138192,1.108683838,1605,0.320034884,0.027673889
