"","Median","LCI","UCI","Geweke.p","Heidel.p","Mean"
"K",27.933728,17.713984,48.319873,0.073,0.156,29.161814
"r",0.10852,0.068871,0.170657,0.516,0.265,0.111468
"q.1",5.861168,3.334975,9.069368,0.031,0.068,5.975434
"q.2",0.909674,0.417283,1.888052,0.456,0.051,0.969627
"q.3",1061.593261,165.739587,7002.903045,0.212,0.283,1701.204261
"psi",0.492729,0.35549,0.680428,0.96,0.405,0.501041
"sigma2",0.022834,0.01208,0.040017,0.428,0.246,0.023765
"tau2.1",0.078963,0.0512,0.122971,0.237,0.363,0.080982
"tau2.2",0.178063,0.088932,0.444057,0.072,0.148,0.200325
"tau2.3",0.046459,0.03419,0.065475,0.642,0.826,0.047355
"m",2,2,2,NA,NA,2
"rad",8.657973,3.37098,21.912006,0.356,0.742,9.669983
